Pt name,North,East,Ground,WSE,Elevation_recorded,Depth,Code,Notes
20184,2065656.188,6578288.048,171.797,176.817,176.417,5.02,BATH,
20185,2065658.509,6578290.091,172.229,176.855,176.455,4.626,BATH,
20186,2065657.781,6578292.581,171.156,176.799,176.399,5.643,BATH,
20187,2065655.462,6578296.259,170.347,176.777,176.377,6.43,BATH,
20188,2065651.854,6578299.824,170.405,176.835,176.435,6.43,BATH,
20189,2065648.338,6578305.17,169.445,176.761,176.361,7.316,BATH,
20190,2065644.781,6578310.906,169.384,176.864,176.464,7.48,BATH,
20191,2065641.12,6578316.252,169.72,176.938,176.538,7.218,BATH,
20192,2065636.809,6578322.114,168.971,176.845,176.445,7.874,BATH,
20194,2065624.725,6578331.428,168.832,176.804,176.404,7.972,BATH,
20196,2065610.126,6578337.303,170.745,176.88,176.48,6.135,BATH,
20197,2065602.728,6578339.617,170.719,176.887,176.487,6.168,BATH,
20198,2065595.108,6578340.976,172.24,176.833,176.433,4.593,BATH,
20202,2065565.45,6578346.39,167.228,176.808,176.408,9.58,BATH,
20206,2065543.747,6578360.987,170.187,176.781,176.381,6.594,BATH,
20207,2065540.521,6578363.721,171.384,176.765,176.365,5.381,BATH,
20208,2065536.904,6578365.005,170.663,176.897,176.497,6.234,BATH,
20209,2065534.154,6578365.72,170.37,176.833,176.433,6.463,BATH,
20210,2065530.927,6578367.04,166.301,176.865,176.465,10.564,BATH,
20211,2065526.648,6578368.5,169.051,176.892,176.492,7.841,BATH,
20212,2065521.84,6578370.07,171.629,176.846,176.446,5.217,BATH,
20213,2065517.47,6578371.59,168.679,176.848,176.448,8.169,BATH,
20214,2065513.797,6578372.38,169.373,176.788,176.388,7.415,BATH,
20215,2065510.823,6578374.91,170.369,176.832,176.432,6.463,BATH,
20216,2065507.407,6578376.595,170.148,176.874,176.474,6.726,BATH,
20217,2065503.381,6578378.722,174.575,176.806,176.406,2.231,BATH,
20218,2065498.858,6578381.14,173.535,176.783,176.383,3.248,BATH,
20219,2065494.177,6578382.905,170.258,176.82,176.42,6.562,BATH,
20220,2065489.346,6578384.565,169.133,176.909,176.509,7.776,BATH,
20221,2065484.272,6578386.684,167.205,176.818,176.418,9.613,BATH,
20222,2065479.009,6578389.446,167.529,176.847,176.447,9.318,BATH,
20223,2065473.743,6578392.001,167.398,176.88,176.48,9.482,BATH,
20224,2065468.748,6578394.975,168.189,176.818,176.418,8.629,BATH,
20225,2065464.767,6578398.46,168.501,176.834,176.434,8.333,BATH,
20226,2065460.417,6578400.411,167.533,176.851,176.451,9.318,BATH,
20227,2065456.248,6578403.81,168.575,176.843,176.443,8.268,BATH,
20228,2065451.795,6578407.02,169.081,176.857,176.457,7.776,BATH,
20229,2065447.59,6578410.313,168.241,176.804,176.404,8.563,BATH,
20230,2065443.83,6578413.529,171.469,176.85,176.45,5.381,BATH,
20231,2065440.668,6578417.653,171.753,176.838,176.438,5.085,BATH,
20232,2065438.074,6578420.665,172.859,176.829,176.429,3.97,BATH,
20233,2065435.722,6578422.868,173.43,176.776,176.376,3.346,BATH,
20235,2065433.761,6578425.215,174.618,176.816,176.416,2.198,BATH,
20236,2065461.319,6578399.96,170.099,176.825,176.425,6.726,BATH,
