P,N,E,Z,D
25106,2063815.29,6575712.494,175.832,WSE
25107,2063817.476,6575710.602,175.809,WSE
25108,2063820.245,6575708.817,175.88,WSE
25109,2063823.778,6575706.969,175.861,WSE
25110,2063827.546,6575705.066,175.819,WSE
25111,2063831.335,6575703.299,175.851,WSE
25112,2063835.519,6575701.316,175.818,WSE
25113,2063839.67,6575699.346,175.78,WSE
25114,2063843.741,6575697.41,175.838,WSE
25115,2063847.939,6575696.107,175.821,WSE
25116,2063852.137,6575694.621,175.802,WSE
25117,2063856.086,6575693.463,175.817,WSE
25118,2063859.433,6575692.631,175.802,WSE
25119,2063862.312,6575691.259,175.813,WSE
25120,2063864.053,6575688.153,175.817,WSE
25121,2063863.502,6575684.808,175.787,WSE
25122,2063861.353,6575683.331,175.834,WSE
25123,2063859.422,6575683.856,175.835,WSE
25124,2063858.663,6575684.339,175.84,WSE
25125,2063857.626,6575684.277,175.836,WSE
25126,2063856.14,6575684.527,175.826,WSE
25127,2063853.501,6575683.952,175.848,WSE
25128,2063850.472,6575684.277,175.843,WSE
25129,2063846.998,6575684.587,175.765,WSE
25130,2063843.243,6575684.833,175.855,WSE
25131,2063838.897,6575684.853,175.816,WSE
25132,2063834.761,6575684.67,175.829,WSE
25133,2063831.314,6575681.878,175.868,WSE
25134,2063829.893,6575678.248,175.866,WSE
25135,2063829.814,6575675.648,175.839,WSE
25136,2063829.612,6575673.758,175.846,WSE
25137,2063829.901,6575672.871,175.87,WSE
25138,2063829.563,6575671.927,175.853,WSE
25139,2063830.001,6575669.859,175.852,WSE
25140,2063831.422,6575667.876,175.87,WSE
25141,2063834.122,6575665.996,175.819,WSE
25142,2063837.074,6575664.536,175.796,WSE
25143,2063840.166,6575663.39,175.858,WSE
25144,2063843.891,6575661.66,175.827,WSE
25145,2063847.005,6575659.913,175.805,WSE
25146,2063849.498,6575657.423,175.831,WSE
25147,2063849.646,6575653.327,175.842,WSE
25148,2063848.217,6575650.425,175.843,WSE
25149,2063846.445,6575649.093,175.845,WSE
25150,2063845.227,6575648.605,175.824,WSE
25151,2063844.563,6575648.938,175.836,WSE
25152,2063843.711,6575648.057,175.879,WSE
25153,2063841.263,6575647.299,175.824,WSE
25154,2063838.429,6575647.047,175.819,WSE
25155,2063834.654,6575646.818,175.849,WSE
25156,2063830.552,6575647.185,175.831,WSE
25157,2063826.363,6575647.499,175.852,WSE
25158,2063822.128,6575647.918,175.867,WSE
25159,2063817.369,6575647.726,175.864,WSE
25160,2063812.966,6575647.612,175.853,WSE
25161,2063808.493,6575647.372,175.873,WSE
25162,2063804.363,6575647.107,175.868,WSE
25163,2063800.538,6575646.407,175.853,WSE
25164,2063797.775,6575642.674,175.875,WSE
25165,2063797.148,6575638.908,175.883,WSE
25166,2063797.449,6575636.234,175.88,WSE
25167,2063796.576,6575633.224,175.88,WSE
25168,2063796.793,6575630.268,175.85,WSE
25169,2063798.182,6575628.899,175.856,WSE
25170,2063798.682,6575628.306,175.905,WSE
25171,2063800.844,6575626.251,175.843,WSE
25172,2063803.86,6575624.737,175.781,WSE
25173,2063807.393,6575623.72,175.888,WSE
25174,2063811.7,6575623.096,175.856,WSE
25175,2063816.103,6575622.487,175.82,WSE
25176,2063820.434,6575621.968,175.865,WSE
25177,2063825.062,6575621.35,175.85,WSE
25178,2063830.031,6575621.167,175.849,WSE
25179,2063834.984,6575621.114,175.814,WSE
25180,2063839.679,6575621.27,175.859,WSE
25181,2063843.774,6575621.481,175.823,WSE
25182,2063847.361,6575618.924,175.823,WSE
25183,2063848.806,6575615.207,175.84,WSE
25184,2063848.997,6575612.366,175.842,WSE
25185,2063848.967,6575610.398,175.832,WSE
25186,2063848.482,6575609.126,175.821,WSE
25187,2063848.094,6575608.428,175.828,WSE
25188,2063847.715,6575607.613,175.816,WSE
25189,2063846.061,6575606.033,175.778,WSE
25190,2063843.827,6575604.472,175.856,WSE
25191,2063840.525,6575602.764,175.825,WSE
25192,2063836.987,6575601.147,175.828,WSE
25193,2063833.145,6575599.896,175.827,WSE
25194,2063829.017,6575598.297,175.832,WSE
25195,2063825.301,6575595.465,175.796,WSE
25196,2063823.7,6575590.827,175.849,WSE
25197,2063824.871,6575587.361,175.885,WSE
25198,2063826.4,6575586.361,175.872,WSE
25199,2063826.451,6575586.84,175.849,WSE
25200,2063826.055,6575586.004,175.841,WSE
25201,2063827.283,6575584.646,175.848,WSE
25202,2063829.312,6575583.864,175.81,WSE
25203,2063831.936,6575583.512,175.875,WSE
25204,2063835.013,6575583.976,175.846,WSE
25205,2063838.392,6575584.3,175.839,WSE
25206,2063841.837,6575584.691,175.846,WSE
25207,2063845.581,6575585.135,175.839,WSE
25208,2063849.615,6575584.687,175.829,WSE
25209,2063853.194,6575583.858,175.839,WSE
25210,2063855.432,6575581.308,175.833,WSE
25211,2063855.066,6575578.85,175.836,WSE
25212,2063853.718,6575577.939,175.806,WSE
25213,2063853.287,6575577.71,175.848,WSE
25214,2063852.695,6575577.847,175.828,WSE
25215,2063852.113,6575577.49,175.846,WSE
25216,2063850.191,6575575.925,175.85,WSE
25217,2063847.177,6575574.581,175.826,WSE
25218,2063843.69,6575573.332,175.845,WSE
25219,2063839.407,6575571.696,175.858,WSE
25220,2063834.719,6575570.588,175.806,WSE
25221,2063829.816,6575569.382,175.854,WSE
25222,2063824.971,6575567.914,175.85,WSE
25223,2063820.047,6575566.695,175.805,WSE
25224,2063814.934,6575565.439,175.869,WSE
25225,2063810.078,6575563.704,175.853,WSE
25226,2063805.298,6575561.968,175.843,WSE
25227,2063800.742,6575560.828,175.863,WSE
25228,2063796.264,6575560.031,175.869,WSE
25230,2063789.822,6575559.317,175.88,WSE
25231,2063787.658,6575559.26,175.837,WSE
25232,2063786.558,6575558.989,175.799,WSE
25234,2063787.951,6575557.925,175.845,WSE
25235,2063789.979,6575557.184,175.836,WSE
25236,2063792.591,6575556.048,175.849,WSE
25237,2063795.05,6575555.797,175.823,WSE
25238,2063797.738,6575555.854,175.784,WSE
25239,2063800.866,6575556.161,175.84,WSE
25240,2063804.458,6575556.341,175.838,WSE
25241,2063808.164,6575556.731,175.785,WSE
25242,2063812.025,6575557.34,175.866,WSE
25243,2063816.288,6575558.21,175.829,WSE
25244,2063820.294,6575559.141,175.786,WSE
25245,2063824.289,6575559.863,175.893,WSE
25246,2063828.249,6575561.207,175.828,WSE
25247,2063832.31,6575562.433,175.806,WSE
25248,2063836.481,6575563.516,175.874,WSE
25249,2063841.065,6575564.705,175.819,WSE
25250,2063845.562,6575565.636,175.818,WSE
25251,2063849.819,6575566.454,175.853,WSE
25252,2063853.669,6575566.538,175.833,WSE
25253,2063857.064,6575565.857,175.843,WSE
25254,2063859.115,6575563.292,175.858,WSE
25256,2063858.24,6575559.168,175.855,WSE
25257,2063857.476,6575557.972,175.847,WSE
25258,2063856.809,6575556.905,175.803,WSE
25259,2063856.033,6575555.682,175.818,WSE
25260,2063854.782,6575555.011,175.821,WSE
25261,2063852.962,6575553.769,175.796,WSE
25262,2063850.093,6575552.183,175.781,WSE
25263,2063847.09,6575551.413,175.825,WSE
25264,2063843.405,6575549.955,175.836,WSE
25265,2063839.526,6575548.744,175.824,WSE
25266,2063835.544,6575547.397,175.814,WSE
25267,2063831.414,6575545.506,175.841,WSE
25268,2063827.64,6575543.568,175.812,WSE
25269,2063824.224,6575542.02,175.806,WSE
25270,2063820.847,6575539.911,175.814,WSE
25271,2063817.314,6575538.001,175.801,WSE
25273,2063809.141,6575533.708,175.828,WSE
25274,2063804.996,6575531.822,175.806,WSE
25275,2063801.277,6575529.966,175.835,WSE
25276,2063797.651,6575526.856,175.817,WSE
25277,2063796.579,6575522.125,175.832,WSE
25278,2063798.073,6575518.956,175.871,WSE
25279,2063799.396,6575517.883,175.887,WSE
25280,2063799.794,6575518.047,175.841,WSE
25281,2063800.256,6575516.914,175.855,WSE
25282,2063802.41,6575515.11,175.87,WSE
25283,2063805.385,6575514.021,175.855,WSE
25285,2063812.23,6575512.938,175.858,WSE
25286,2063816.154,6575513.133,175.855,WSE
25287,2063819.8,6575513.589,175.795,WSE
25288,2063823.265,6575514.408,175.873,WSE
25290,2063829.995,6575516.648,175.852,WSE
25291,2063833.104,6575517.959,175.892,WSE
25292,2063836.214,6575519.315,175.882,WSE
25293,2063839.176,6575520.444,175.839,WSE
25295,2063845.557,6575522.71,175.837,WSE
25296,2063848.48,6575524.092,175.838,WSE
25297,2063851.83,6575525.239,175.837,WSE
25298,2063855.17,6575526.583,175.821,WSE
25299,2063858.277,6575527.933,175.814,WSE
25304,2063859.765,6575519.773,175.823,WSE
25306,2063857.53,6575518.707,175.804,WSE
25307,2063855.537,6575517.11,175.854,WSE
25308,2063852.259,6575515.523,175.801,WSE
25310,2063844.859,6575512.619,175.822,WSE
25311,2063840.625,6575511.051,175.819,WSE
25312,2063836.655,6575509.5,175.797,WSE
25313,2063832.542,6575507.654,175.855,WSE
25314,2063828.164,6575505.704,175.805,WSE
25315,2063823.973,6575503.589,175.81,WSE
25316,2063819.854,6575501.262,175.817,WSE
25317,2063816.13,6575498.637,175.8,WSE
25318,2063812.929,6575495.588,175.818,WSE
25319,2063809.887,6575492.984,175.82,WSE
25320,2063807.1,6575490.151,175.82,WSE
25321,2063807.133,6575486.031,175.912,WSE
25322,2063809.102,6575484.036,175.855,WSE
25323,2063810.315,6575484.283,175.828,WSE
25325,2063811.24,6575483.38,175.816,WSE
25326,2063813.205,6575482.751,175.859,WSE
25327,2063816.087,6575482.667,175.816,WSE
25328,2063818.765,6575483.076,175.82,WSE
25329,2063821.799,6575483.583,175.845,WSE
25330,2063825.085,6575484.441,175.799,WSE
25331,2063828.162,6575485.514,175.824,WSE
25332,2063831.404,6575486.846,175.828,WSE
25333,2063835.124,6575488.088,175.848,WSE
25334,2063838.592,6575489.37,175.832,WSE
25335,2063842.152,6575490.621,175.841,WSE
25336,2063845.888,6575491.927,175.814,WSE
25337,2063849.449,6575492.896,175.829,WSE
25338,2063853.106,6575494.237,175.809,WSE
25339,2063856.842,6575494.962,175.785,WSE
25340,2063860.649,6575495.762,175.845,WSE
25341,2063864.414,6575496.246,175.794,WSE
25342,2063867.905,6575496.251,175.827,WSE
25343,2063869.917,6575494.052,175.811,WSE
25344,2063869.737,6575492.178,175.802,WSE
25345,2063869.366,6575491.431,175.808,WSE
25346,2063870.005,6575489.847,175.846,WSE
25347,2063868.997,6575488.223,175.831,WSE
25348,2063867.664,6575487.799,175.815,WSE
25349,2063866.557,6575486.969,175.851,WSE
25350,2063864.03,6575485.444,175.797,WSE
25351,2063860.986,6575484.269,175.771,WSE
25352,2063857.299,6575483.043,175.801,WSE
25353,2063853.174,6575481.403,175.802,WSE
25354,2063848.925,6575479.477,175.783,WSE
25355,2063844.598,6575477.311,175.835,WSE
25356,2063839.984,6575474.699,175.834,WSE
25357,2063835.518,6575472.093,175.814,WSE
25358,2063831.325,6575469.215,175.849,WSE
25360,2063823.517,6575463.84,175.777,WSE
25361,2063819.469,6575461.842,175.785,WSE
25362,2063815.856,6575458.931,175.815,WSE
25363,2063812.65,6575455.592,175.858,WSE
25364,2063810.928,6575451.465,175.887,WSE
25365,2063810.885,6575447.87,175.855,WSE
25366,2063811.487,6575445.571,175.808,WSE
25367,2063812.124,6575444.468,175.822,WSE
25368,2063812.18,6575444.956,175.84,WSE
25369,2063812.35,6575443.903,175.855,WSE
25370,2063814.084,6575443.349,175.799,WSE
25371,2063816.438,6575442.946,175.766,WSE
25372,2063819.492,6575442.858,175.833,WSE
25373,2063823.289,6575442.785,175.853,WSE
25374,2063827.137,6575443.141,175.798,WSE
25375,2063831.016,6575443.628,175.843,WSE
25376,2063835.087,6575444.596,175.783,WSE
25377,2063838.942,6575445.654,175.756,WSE
25378,2063842.945,6575446.819,175.811,WSE
25379,2063847.392,6575448.024,175.8,WSE
25380,2063851.569,6575449.25,175.762,WSE
25381,2063855.578,6575450.561,175.83,WSE
25382,2063859.656,6575451.908,175.797,WSE
25383,2063863.618,6575453.189,175.784,WSE
25384,2063867.368,6575454.299,175.792,WSE
25385,2063871.336,6575453.928,175.821,WSE
25386,2063874.697,6575454.113,175.806,WSE
25387,2063877.967,6575453.556,175.793,WSE
25389,2063878.068,6575448.178,175.788,WSE
25390,2063876.309,6575447.64,175.834,WSE
25391,2063875.52,6575447.647,175.802,WSE
25392,2063874.381,6575446.168,175.787,WSE
25393,2063872.599,6575443.875,175.837,WSE
25394,2063869.894,6575441.481,175.802,WSE
25395,2063867.073,6575438.833,175.779,WSE
25396,2063863.952,6575435.909,175.832,WSE
25397,2063860.597,6575432.324,175.842,WSE
25398,2063857.16,6575428.823,175.817,WSE
25399,2063853.64,6575424.922,175.831,WSE
25402,2063843.33,6575413.762,175.835,WSE
25403,2063839.952,6575409.614,175.866,WSE
25404,2063837.108,6575405.384,175.892,WSE
25405,2063834.446,6575400.935,175.852,WSE
25406,2063832.374,6575396.371,175.865,WSE
25407,2063833.001,6575392.04,175.88,WSE
25408,2063834.57,6575390.381,175.878,WSE
25409,2063835.082,6575390.595,175.856,WSE
25410,2063834.526,6575390.327,175.829,WSE
25411,2063835.808,6575389.393,175.837,WSE
25412,2063837.876,6575389.06,175.91,WSE
25413,2063840.62,6575389.924,175.849,WSE
25414,2063843.845,6575391.002,175.798,WSE
25415,2063847.426,6575392.327,175.875,WSE
25416,2063851.204,6575394.298,175.817,WSE
25417,2063855.278,6575396.038,175.785,WSE
25418,2063859.533,6575397.59,175.851,WSE
25419,2063863.587,6575399.98,175.824,WSE
25420,2063867.682,6575402.141,175.778,WSE
25421,2063871.361,6575404.361,175.822,WSE
25422,2063875.442,6575406.271,175.814,WSE
25424,2063883.063,6575410.026,175.789,WSE
25425,2063885.992,6575412.57,175.81,WSE
25426,2063887.982,6575415.843,175.837,WSE
25429,2063887.824,6575424.183,175.818,WSE
25432,2063884.294,6575434.608,175.763,WSE
25435,2063879.387,6575446.164,175.796,WSE
25436,2063877.519,6575450.212,175.788,WSE
25437,2063875.641,6575454.298,175.827,WSE
25439,2063872.193,6575463.225,175.754,WSE
25440,2063870.854,6575467.724,175.807,WSE
25441,2063869.31,6575472.237,175.799,WSE
25442,2063867.75,6575476.745,175.787,WSE
25443,2063866.59,6575480.986,175.786,WSE
25444,2063866.068,6575484.918,175.825,WSE
25445,2063865.257,6575488.911,175.806,WSE
25446,2063865.102,6575492.587,175.792,WSE
25447,2063865.26,6575496.446,175.818,WSE
25448,2063865.315,6575500.33,175.773,WSE
25450,2063865.444,6575508.049,175.802,WSE
25452,2063864.672,6575515.802,175.825,WSE
25457,2063859.873,6575535.426,175.759,WSE
25458,2063859.014,6575539.386,175.776,WSE
25459,2063858.126,6575543.471,175.8,WSE
25460,2063857.252,6575547.752,175.797,WSE
25461,2063856.236,6575551.923,175.736,WSE
25462,2063855.254,6575555.965,175.783,WSE
25463,2063854.445,6575559.863,175.775,WSE
25464,2063853.455,6575563.457,175.748,WSE
25465,2063852.561,6575566.91,175.785,WSE
25466,2063851.614,6575570.462,175.789,WSE
25467,2063851.013,6575574.096,175.763,WSE
25468,2063850.243,6575577.689,175.744,WSE
25469,2063849.557,6575581.369,175.837,WSE
25470,2063848.367,6575585.538,175.776,WSE
25471,2063846.968,6575589.77,175.754,WSE
25472,2063845.661,6575593.925,175.782,WSE
25473,2063844.721,6575598.163,175.809,WSE
25474,2063844.056,6575602.252,175.811,WSE
25475,2063843.89,6575605.952,175.771,WSE
25476,2063844.054,6575609.575,175.784,WSE
25477,2063843.956,6575613.326,175.788,WSE
25478,2063844.008,6575616.994,175.738,WSE
25479,2063844.629,6575620.458,175.793,WSE
25480,2063846.01,6575623.859,175.772,WSE
25481,2063846.905,6575627.285,175.703,WSE
25482,2063847.568,6575630.852,175.788,WSE
25483,2063847.771,6575634.772,175.774,WSE
25484,2063848.307,6575638.584,175.754,WSE
25485,2063849.089,6575642.202,175.78,WSE
25486,2063849.503,6575645.464,175.79,WSE
25487,2063849.482,6575648.445,175.779,WSE
25489,2063849.16,6575654.424,175.807,WSE
25490,2063849.442,6575657.058,175.804,WSE
25491,2063850.176,6575659.415,175.798,WSE
25492,2063850.196,6575662.201,175.771,WSE
25493,2063850.649,6575664.597,175.807,WSE
25494,2063850.17,6575667.504,175.805,WSE
25495,2063850.467,6575670.182,175.78,WSE
25496,2063851.298,6575672.725,175.83,WSE
25497,2063852.219,6575675.596,175.798,WSE
25498,2063853.466,6575678.229,175.776,WSE
25499,2063855.237,6575680.622,175.836,WSE
25500,2063857.044,6575683.45,175.816,WSE
25501,2063859.05,6575685.9,175.787,WSE
25502,2063861.225,6575687.932,175.817,WSE
25504,2063863.428,6575693.525,175.812,WSE
25505,2063862.47,6575695.703,175.81,WSE
25506,2063861.907,6575697.349,175.819,WSE
25507,2063860.201,6575697.302,175.791,WSE
25508,2063859.643,6575695.655,175.802,WSE
25509,2063860.181,6575694.234,175.803,WSE
25510,2063859.052,6575693.576,175.795,WSE
25511,2063857.883,6575691.909,175.778,WSE
25512,2063856.175,6575689.499,175.819,WSE
25513,2063854.075,6575686.905,175.812,WSE
25514,2063852.478,6575683.587,175.793,WSE
25515,2063851.29,6575680.019,175.786,WSE
25516,2063850.198,6575676.402,175.813,WSE
25517,2063848.368,6575672.207,175.8,WSE
25518,2063847.306,6575667.479,175.809,WSE
25519,2063846.2,6575662.498,175.767,WSE
25520,2063845.326,6575657.439,175.781,WSE
25521,2063844.398,6575652.457,175.821,WSE
25522,2063843.703,6575647.454,175.775,WSE
25523,2063843.334,6575642.26,175.775,WSE
25524,2063843.379,6575636.941,175.812,WSE
25525,2063843.503,6575631.735,175.784,WSE
25526,2063843.787,6575626.4,175.779,WSE
25527,2063843.626,6575621.1,175.761,WSE
25528,2063843.02,6575615.961,175.82,WSE
25529,2063843.447,6575610.943,175.778,WSE
25530,2063844.083,6575605.681,175.765,WSE
25531,2063844.96,6575600.437,175.814,WSE
25532,2063845.653,6575595.295,175.785,WSE
25533,2063846.304,6575590.301,175.764,WSE
25534,2063847.101,6575585.059,175.808,WSE
25535,2063846.757,6575580.065,175.794,WSE
25536,2063846.022,6575574.914,175.792,WSE
25537,2063846.121,6575569.824,175.769,WSE
25538,2063846.849,6575564.687,175.781,WSE
25539,2063847.348,6575559.635,175.797,WSE
25540,2063847.676,6575554.702,175.796,WSE
25541,2063847.253,6575549.954,175.8,WSE
25542,2063847.135,6575545.608,175.782,WSE
25543,2063848.025,6575541.378,175.803,WSE
25544,2063848.599,6575536.964,175.811,WSE
25545,2063849.113,6575532.511,175.776,WSE
25546,2063849.724,6575528.119,175.838,WSE
25547,2063849.542,6575523.168,175.788,WSE
25548,2063850.087,6575518.447,175.769,WSE
25549,2063851.003,6575513.802,175.789,WSE
25550,2063852.067,6575509.124,175.824,WSE
25551,2063853.659,6575504.608,175.814,WSE
25552,2063855.155,6575500.18,175.779,WSE
25553,2063856.385,6575495.591,175.799,WSE
25554,2063857.744,6575491.19,175.833,WSE
25555,2063859.699,6575487.029,175.847,WSE
25556,2063860.033,6575481.944,175.803,WSE
25557,2063860.863,6575477.144,175.825,WSE
25558,2063862.132,6575472.413,175.857,WSE
25559,2063863.358,6575467.651,175.847,WSE
25560,2063864.356,6575462.857,175.842,WSE
25561,2063866.731,6575458.988,175.823,WSE
25562,2063869.055,6575456.099,175.792,WSE
25563,2063868.951,6575451.642,175.784,WSE
25564,2063868.289,6575447.697,175.821,WSE
25565,2063867.733,6575444.279,175.838,WSE
25566,2063867.757,6575440.404,175.817,WSE
25567,2063868.012,6575436.01,175.85,WSE
25568,2063868.9,6575431.465,175.833,WSE
25569,2063870.385,6575427.31,175.856,WSE
25570,2063871.887,6575423.413,175.869,WSE
25571,2063873.294,6575419.501,175.862,WSE
25572,2063875.144,6575415.882,175.835,WSE
25573,2063876.441,6575411.953,175.801,WSE
25574,2063877.058,6575407.761,175.834,WSE
25575,2063877.836,6575403.962,175.833,WSE
25576,2063879.796,6575400.93,175.806,WSE
25577,2063882.626,6575399.505,175.853,WSE
25578,2063884.343,6575399.514,175.838,WSE
25579,2063885.644,6575398.943,175.863,WSE
25580,2063888.479,6575398.476,175.865,WSE
25581,2063891.345,6575398.459,175.824,WSE
25582,2063893.881,6575398.746,175.862,WSE
25583,2063896.413,6575398.406,175.823,WSE
25584,2063898.13,6575398.663,175.858,WSE
25585,2063897.759,6575399.668,175.859,WSE
25586,2063897.574,6575400.471,175.832,WSE
25587,2063896.415,6575400.543,175.835,WSE
25588,2063895.781,6575400.103,175.835,WSE
25589,2063894.919,6575399.504,175.802,WSE
25590,2063893.654,6575398.851,175.819,WSE
25591,2063892.607,6575397.582,175.843,WSE
25592,2063891.564,6575395.932,175.849,WSE
25593,2063890.261,6575393.818,175.823,WSE
25595,2063889.305,6575388.258,175.856,WSE
25596,2063890.656,6575386.566,175.827,WSE
25597,2063891.493,6575386.101,175.818,WSE
25598,2063891.898,6575385.399,175.853,WSE
25599,2063893.994,6575384.205,175.859,WSE
25600,2063896.706,6575383.423,175.818,WSE
25601,2063899.874,6575383.152,175.842,WSE
25602,2063903.811,6575382.486,175.817,WSE
25603,2063906.636,6575379.45,175.804,WSE
25604,2063906.507,6575376.152,175.801,WSE
25605,2063904.947,6575374.948,175.783,WSE
25606,2063903.896,6575375.16,175.794,WSE
25607,2063902.609,6575373.69,175.786,WSE
25608,2063900.508,6575371.655,175.843,WSE
25609,2063897.253,6575369.067,175.804,WSE
25610,2063893.704,6575366.428,175.764,WSE
25611,2063889.853,6575363.846,175.825,WSE
25612,2063886.234,6575360.159,175.818,WSE
25613,2063882.58,6575356.716,175.832,WSE
25614,2063878.737,6575353.495,175.827,WSE
25615,2063875.141,6575349.997,175.812,WSE
25616,2063871.598,6575346.807,175.821,WSE
25617,2063868.423,6575343.694,175.811,WSE
25618,2063865.574,6575340.88,175.858,WSE
25619,2063863.181,6575337.842,175.859,WSE
25620,2063862.637,6575333.442,175.879,WSE
25621,2063864.53,6575330.123,175.844,WSE
25622,2063866.941,6575329.551,175.853,WSE
25623,2063868.288,6575329.935,175.86,WSE
25624,2063869.862,6575328.595,175.767,WSE
25625,2063872.218,6575326.962,175.848,WSE
25626,2063875.132,6575325.021,175.844,WSE
25627,2063877.569,6575324.858,175.856,WSE
25628,2063878.697,6575325.852,175.831,WSE
25630,2063882.813,6575325.866,175.874,WSE
25631,2063885.863,6575326.926,175.878,WSE
25632,2063889.022,6575328.717,175.852,WSE
25633,2063892.418,6575331.022,175.861,WSE
25634,2063896.026,6575333.701,175.881,WSE
25635,2063899.975,6575336.572,175.848,WSE
25636,2063903.753,6575339.319,175.804,WSE
25637,2063907.361,6575341.976,175.855,WSE
25638,2063910.935,6575344.265,175.849,WSE
25640,2063917.451,6575347.749,175.8,WSE
25641,2063920.482,6575348.856,175.827,WSE
25642,2063923.372,6575348.413,175.803,WSE
25644,2063924.196,6575344.325,175.819,WSE
25645,2063924.109,6575343.176,175.815,WSE
25646,2063923.909,6575342.158,175.791,WSE
25647,2063923.753,6575340.932,175.855,WSE
25648,2063922.862,6575338.954,175.847,WSE
25649,2063921.352,6575336.511,175.833,WSE
25650,2063919.215,6575333.982,175.793,WSE
25651,2063916.537,6575331.099,175.825,WSE
25652,2063914.005,6575327.918,175.794,WSE
25653,2063913.159,6575323.507,175.839,WSE
25654,2063915.145,6575319.737,175.82,WSE
25655,2063917.576,6575318.353,175.828,WSE
25656,2063918.56,6575318.513,175.815,WSE
25657,2063918.358,6575318.218,175.818,WSE
25658,2063919.683,6575317.543,175.813,WSE
25659,2063921.944,6575317.59,175.868,WSE
25660,2063924.994,6575318.606,175.833,WSE
25661,2063928.202,6575320.149,175.788,WSE
25662,2063931.268,6575322.304,175.815,WSE
25663,2063934.745,6575324.112,175.8,WSE
25664,2063938.611,6575324.931,175.819,WSE
25665,2063941.964,6575322.262,175.827,WSE
25666,2063943.019,6575319.729,175.812,WSE
25667,2063943.035,6575318.308,175.808,WSE
25668,2063942.48,6575317.693,175.803,WSE
25670,2063942.287,6575315.32,175.829,WSE
25671,2063940.877,6575312.899,175.794,WSE
25672,2063938.374,6575310.395,175.75,WSE
25673,2063935.332,6575307.863,175.849,WSE
25674,2063931.636,6575304.971,175.807,WSE
25675,2063928.042,6575301.681,175.803,WSE
25676,2063924.642,6575298.197,175.816,WSE
25677,2063921.912,6575294.518,175.818,WSE
25678,2063920.204,6575290.62,175.799,WSE
25679,2063918.429,6575287.949,175.794,WSE
25680,2063916.667,6575285.954,175.789,WSE
25681,2063915.928,6575282.673,175.812,WSE
25682,2063916.815,6575279.47,175.853,WSE
25683,2063918.767,6575277.661,175.847,WSE
25684,2063920.737,6575277.643,175.82,WSE
25685,2063921.546,6575278.536,175.809,WSE
25686,2063921.473,6575279.122,175.84,WSE
25687,2063923.388,6575279.155,175.839,WSE
25688,2063925.78,6575279.68,175.824,WSE
25689,2063928.649,6575280.901,175.845,WSE
25690,2063931.94,6575282.56,175.818,WSE
25691,2063935.42,6575284.424,175.812,WSE
25692,2063939.403,6575286.386,175.846,WSE
25693,2063943.184,6575289.042,175.802,WSE
25694,2063946.933,6575291.472,175.807,WSE
25695,2063950.776,6575293.753,175.822,WSE
25696,2063954.288,6575296.238,175.819,WSE
25697,2063958.079,6575298.058,175.803,WSE
25698,2063962.112,6575298.782,175.811,WSE
25700,2063966.198,6575294.598,175.806,WSE
25701,2063968.112,6575293.088,175.753,WSE
25702,2063968.271,6575291.286,175.787,WSE
25703,2063967.59,6575290.826,175.794,WSE
25704,2063967.696,6575289.19,175.784,WSE
25705,2063967.082,6575287.428,175.826,WSE
25706,2063965.432,6575285.411,175.815,WSE
25707,2063963.351,6575283.324,175.79,WSE
25708,2063961.046,6575281.041,175.805,WSE
25709,2063958.906,6575278.382,175.791,WSE
25710,2063958.372,6575274.622,175.802,WSE
25711,2063959.917,6575271.428,175.795,WSE
25712,2063962.654,6575270.394,175.754,WSE
25713,2063964.077,6575271.294,175.767,WSE
25714,2063963.435,6575272.108,175.769,WSE
25715,2063963.392,6575271.706,175.823,WSE
25716,2063964.902,6575272.161,175.805,WSE
25717,2063966.397,6575273.401,175.781,WSE
25718,2063967.711,6575275.238,175.815,WSE
25719,2063969.829,6575277.695,175.814,WSE
25720,2063972.375,6575280.206,175.768,WSE
25721,2063975.071,6575282.586,175.785,WSE
25722,2063977.944,6575284.218,175.798,WSE
25723,2063980.782,6575283.115,175.813,WSE
25724,2063981.61,6575281.357,175.8,WSE
25725,2063980.694,6575280.155,175.803,WSE
25726,2063980.131,6575279.865,175.82,WSE
25727,2063979.696,6575279.074,175.787,WSE
25728,2063978.81,6575277.812,175.787,WSE
25729,2063977.906,6575275.628,175.808,WSE
25730,2063976.026,6575273.632,175.822,WSE
25731,2063973.604,6575271.511,175.785,WSE
25732,2063970.912,6575268.752,175.848,WSE
25733,2063967.769,6575265.935,175.817,WSE
25734,2063964.588,6575263.206,175.771,WSE
25735,2063961.448,6575260.507,175.795,WSE
25736,2063958.27,6575257.809,175.836,WSE
25737,2063955.075,6575254.588,175.771,WSE
25738,2063951.961,6575251.36,175.762,WSE
25739,2063948.822,6575248.611,175.8,WSE
25740,2063945.838,6575245.668,175.806,WSE
25741,2063943.166,6575243.053,175.776,WSE
25742,2063942.522,6575239.564,175.792,WSE
25743,2063942.624,6575236.967,175.768,WSE
25744,2063943.27,6575235.4,175.783,WSE
25745,2063943.672,6575234.601,175.761,WSE
25746,2063944.008,6575233.933,175.78,WSE
25747,2063944.514,6575233.013,175.773,WSE
25748,2063945.198,6575231.919,175.795,WSE
25749,2063945.539,6575229.446,175.77,WSE
25750,2063947.296,6575230.014,175.778,WSE
25751,2063948.109,6575231.183,175.788,WSE
25752,2063949.135,6575231.901,175.764,WSE
25753,2063950.321,6575233.274,175.803,WSE
